episode,op_actual,category_id,generation_source,params_mutated,params_crossed,n_params_differ,ego_speed,ego_on_intersection,intersection_has_cars,distractor_cars,has_brake_checker,has_cluster,maximum_distractor_speed,distance_to_nearest,cluster_dist,brake_dist,intersection_cars,num_steps,reward_sum,pvl,failure,termination_reason
137,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,446,12.413243293762207,0.04082981445262785,,out_of_road
138,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,527,15.478323936462402,0.11427446819207432,,out_of_road
139,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,479,13.55567455291748,0.06057930758149054,,arrive_dest
140,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,273,7.105286598205566,0.08712397153479057,,out_of_road
141,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,399,12.139135360717773,0.07337463670701984,,out_of_road
142,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,298,5.790714740753174,0.053383102084216254,,out_of_road
143,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,426,16.435565948486328,0.18209668442370816,,out_of_road
144,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,695,18.56325340270996,0.09446071376287037,,out_of_road
145,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,35,-0.27317532896995544,0.025123262618269238,,out_of_road
146,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,498,11.714529037475586,0.05650025775121248,,out_of_road
147,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,66,0.27612265944480896,0.03846205121865778,,out_of_road
148,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,419,7.624650478363037,0.10060635547382593,,out_of_road
149,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,432,16.02681541442871,0.1765070843534044,,out_of_road
150,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,414,15.06775951385498,0.16379263434460126,,out_of_road
151,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,561,16.346107482910156,0.1311696160554806,,out_of_road
152,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,494,13.593417167663574,0.07718490969897757,,out_of_road
153,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,125,1.8775928020477295,0.05354258753359318,,out_of_road
154,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,882,25.834075927734375,0.11893595933550948,,out_of_road
155,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,196,3.794368267059326,0.030630848703107665,,out_of_road
156,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,577,16.63763999938965,0.1026561070997042,,out_of_road
157,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,526,14.099203109741211,0.11153035966534267,,out_of_road
158,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,315,10.821718215942383,0.07929345009227594,,out_of_road
159,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,468,15.815144538879395,0.13724576115596276,,out_of_road
160,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,524,12.704446792602539,0.09426766412176249,,out_of_road
161,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,156,3.8726468086242676,0.051542318117870495,,out_of_road
162,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,157,2.5022661685943604,0.007613853978550738,,out_of_road
163,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,187,-0.42499101161956787,0.09981829880233754,,out_of_road
164,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,254,5.014475345611572,0.0975272044994113,,out_of_road
165,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,409,12.303051948547363,0.14250553199397467,,out_of_road
166,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,1000,31.3797607421875,0.14589459636714308,,max_step
167,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,563,16.49482536315918,0.11789399776787647,,out_of_road
168,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,825,23.558889389038086,0.13663952889090233,,out_of_road
169,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,78,1.8000541925430298,0.03210838881727213,,arrive_dest
170,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,1000,30.822681427001953,0.12819671476026998,,max_step
171,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,109,2.7044894695281982,0.02882605510840722,,arrive_dest
172,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,517,17.29665184020996,0.13814594722902349,,out_of_road
173,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,59,-0.20485883951187134,0.003201679405519518,,out_of_road
174,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,463,15.267346382141113,0.10015954440117655,,out_of_road
175,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,240,4.744466781616211,0.03875113723818989,,out_of_road
